Id,class
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,5
56,8
57,10
58,8
59,10
60,2
61,2
62,2
63,10
64,10
65,8
66,10
67,10
68,1
69,10
70,1
71,5
72,10
73,10
74,10
75,10
76,2
77,8
78,2
79,8
80,0
81,2
82,8
83,4
84,4
85,4
86,2
87,4
88,4
89,4
90,0
91,4
92,0
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,2
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,2
134,0
135,2
136,2
137,2
138,2
139,6
140,2
141,2
142,3
143,6
144,2
145,2
146,5
147,5
148,2
149,2
150,5
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,8
159,7
160,8
161,0
162,5
163,0
164,0
165,6
166,6
167,0
168,0
169,2
170,6
171,6
172,6
173,7
174,0
175,0
176,6
177,6
178,5
179,6
180,6
181,2
182,6
183,2
184,2
185,2
186,2
187,6
188,2
189,6
190,2
191,2
192,6
193,6
194,2
195,2
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,5
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,11
350,11
351,11
352,11
353,11
354,11
355,11
356,11
357,11
358,11
359,11
360,11
361,0
362,3
363,0
364,11
365,11
366,11
367,11
368,1
369,8
370,11
371,11
372,11
373,11
374,11
375,11
376,11
377,11
378,11
379,11
380,11
381,11
382,11
383,11
384,11
385,1
386,11
387,11
388,11
389,0
390,11
391,11
392,11
393,11
394,11
395,11
396,11
397,11
398,11
399,11
400,11
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,11
410,11
411,11
412,11
413,11
414,11
415,11
416,11
417,11
418,11
419,11
420,11
421,11
422,11
423,11
424,11
425,10
426,10
427,10
428,10
429,10
430,10
431,10
432,10
433,10
434,10
435,10
436,10
437,10
438,10
439,10
440,10
441,10
442,10
443,10
444,10
445,1
446,10
447,10
448,10
449,10
450,10
451,10
452,10
453,10
454,10
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,0
471,0
472,4
473,2
474,0
475,0
476,4
477,4
478,4
479,0
480,0
481,4
482,4
483,4
484,4
485,2
486,2
487,5
488,3
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,5
508,6
509,6
510,6
511,6
512,2
513,2
514,2
515,2
